Date,Clicks,Impressions,CTR,Position
2025-09-29,1,55,1.82%,3
2025-09-30,0,52,0%,2.6
2025-10-01,2,72,2.78%,3.3
2025-10-02,1,76,1.32%,3.3
2025-10-03,3,75,4%,2.3
2025-10-04,1,65,1.54%,1.8
2025-10-05,2,67,2.99%,2.3
2025-10-06,2,78,2.56%,2.8
2025-10-07,1,57,1.75%,2.1
2025-10-08,1,80,1.25%,1.9
2025-10-09,0,79,0%,3
2025-10-10,1,56,1.79%,6
2025-10-11,0,57,0%,2.4
2025-10-12,1,77,1.3%,4
2025-10-13,1,56,1.79%,2.4
2025-10-14,1,69,1.45%,2.5
2025-10-15,0,65,0%,3.3
2025-10-16,2,68,2.94%,5.2
2025-10-17,0,66,0%,4.2
2025-10-18,1,56,1.79%,4.6
2025-10-19,0,77,0%,1.7
2025-10-20,0,53,0%,2.2
2025-10-21,0,94,0%,2.4
2025-10-22,0,69,0%,2
2025-10-23,0,68,0%,1.4
2025-10-24,1,63,1.59%,1.6
2025-10-25,3,51,5.88%,1.6
2025-10-26,0,79,0%,1.7
2025-10-27,0,68,0%,2.6
2025-10-28,0,86,0%,1.4
2025-10-29,1,88,1.14%,1.2
2025-10-30,0,46,0%,1.9
2025-10-31,2,14,14.29%,2.1
2025-11-01,2,18,11.11%,4.6
2025-11-02,2,23,8.7%,2.3
2025-11-03,1,21,4.76%,2.5
2025-11-04,0,7,0%,4.4
2025-11-05,0,14,0%,2.4
2025-11-06,1,9,11.11%,5
2025-11-07,0,9,0%,4.7
2025-11-08,5,19,26.32%,7.2
2025-11-09,5,10,50%,2
2025-11-10,0,23,0%,3.7
2025-11-11,2,12,16.67%,3.4
2025-11-12,0,10,0%,14.6
2025-11-13,0,11,0%,4.5
2025-11-14,0,12,0%,4.6
2025-11-15,0,15,0%,5.3
2025-11-16,0,22,0%,3.5
2025-11-17,1,37,2.7%,8
2025-11-18,1,24,4.17%,6.8
2025-11-19,1,4,25%,2
2025-11-20,0,15,0%,13.6
2025-11-21,1,9,11.11%,8.2
2025-11-22,1,4,25%,2
2025-11-23,1,11,9.09%,12.6
2025-11-24,0,13,0%,3.7
2025-11-25,0,4,0%,2.2
2025-11-26,1,7,14.29%,5.1
2025-11-27,0,7,0%,12
2025-11-28,1,10,10%,8.2
2025-11-29,0,10,0%,3
2025-11-30,3,14,21.43%,6.2
2025-12-01,0,11,0%,9.9
2025-12-02,0,5,0%,8.4
2025-12-03,1,8,12.5%,4.9
2025-12-04,1,10,10%,2.8
2025-12-05,0,4,0%,1
2025-12-06,1,11,9.09%,10.6
2025-12-07,1,9,11.11%,3.3
2025-12-08,2,22,9.09%,46.6
2025-12-09,0,10,0%,6.4
2025-12-10,0,15,0%,2.3
2025-12-11,2,7,28.57%,2.7
2025-12-12,2,12,16.67%,4.6
2025-12-13,1,6,16.67%,3.3
2025-12-14,0,8,0%,6
2025-12-15,3,10,30%,25.2
2025-12-16,1,6,16.67%,5.2
2025-12-17,0,9,0%,10.9
2025-12-18,0,6,0%,5.3
2025-12-19,1,7,14.29%,3.7
2025-12-20,0,5,0%,5.8
2025-12-21,0,4,0%,5.2
2025-12-22,0,12,0%,4.5
2025-12-23,0,10,0%,6.4
2025-12-24,0,3,0%,24.3
2025-12-25,0,1,0%,8
2025-12-26,0,8,0%,5.4
2025-12-27,0,6,0%,38.2
2025-12-28,0,1,0%,1
