Country,Clicks,Impressions,CTR,Position
United Kingdom,64,353,18.13%,9.44
United States,3,305,0.98%,7.26
Philippines,2,1086,0.18%,1.13
Spain,1,39,2.56%,1.77
Australia,1,27,3.7%,6.7
Ireland,1,6,16.67%,33.17
Switzerland,1,3,33.33%,6.33
Indonesia,0,161,0%,1.42
Netherlands,0,90,0%,1.7
Germany,0,87,0%,1.66
India,0,76,0%,6.45
Poland,0,42,0%,1.76
Canada,0,41,0%,7.71
France,0,37,0%,1.86
Mexico,0,31,0%,2.23
Turkey,0,30,0%,1.93
Japan,0,30,0%,2.2
Romania,0,25,0%,1.6
Brazil,0,25,0%,7.76
Thailand,0,23,0%,1.87
Portugal,0,22,0%,1.59
Czechia,0,21,0%,2
Bulgaria,0,20,0%,1.65
Hungary,0,16,0%,1.12
Vietnam,0,14,0%,1
Italy,0,14,0%,3.79
South Korea,0,14,0%,5.07
Lithuania,0,12,0%,1
Croatia,0,12,0%,1.08
Singapore,0,9,0%,3.11
South Africa,0,9,0%,10
Sweden,0,8,0%,3.88
Russia,0,7,0%,2.29
Sri Lanka,0,7,0%,5.57
Bangladesh,0,6,0%,1
Denmark,0,6,0%,1.83
Greece,0,6,0%,6.83
New Zealand,0,6,0%,12.33
Albania,0,5,0%,3.2
Malaysia,0,5,0%,3.2
Saudi Arabia,0,5,0%,3.2
Kazakhstan,0,5,0%,3.6
Belgium,0,4,0%,6
Nigeria,0,3,0%,1
Uganda,0,3,0%,4.33
Finland,0,3,0%,7.67
Nepal,0,3,0%,9
United Arab Emirates,0,3,0%,11
Aruba,0,2,0%,1
Pakistan,0,2,0%,6
Trinidad & Tobago,0,2,0%,6.5
Kenya,0,2,0%,7.5
Morocco,0,2,0%,8.5
Slovenia,0,2,0%,8.5
Oman,0,2,0%,9
Colombia,0,2,0%,13.5
Iraq,0,2,0%,21.5
Uzbekistan,0,2,0%,24
Dominican Republic,0,2,0%,31
Curaçao,0,1,0%,1
Ecuador,0,1,0%,1
Israel,0,1,0%,1
St. Martin,0,1,0%,1
Macedonia,0,1,0%,1
Myanmar (Burma),0,1,0%,1
Puerto Rico,0,1,0%,1
French Polynesia,0,1,0%,1
Suriname,0,1,0%,1
Argentina,0,1,0%,2
Namibia,0,1,0%,2
Luxembourg,0,1,0%,5
China,0,1,0%,6
Estonia,0,1,0%,6
Jersey,0,1,0%,6
Laos,0,1,0%,7
Barbados,0,1,0%,9
Qatar,0,1,0%,9
Jamaica,0,1,0%,10
Lebanon,0,1,0%,10
Ghana,0,1,0%,20
Malta,0,1,0%,30
Venezuela,0,1,0%,53
Egypt,0,1,0%,54
Tanzania,0,1,0%,65
