Top pages,Clicks,Impressions,CTR,Position
https://gisellemonbiot.com/,43,206,20.87%,3.76
https://gisellemonbiot.com/courses-and-events/,9,268,3.36%,11.5
https://gisellemonbiot.com/breathwork/,8,214,3.74%,8.13
https://gisellemonbiot.com/one-to-one-therapy/,7,111,6.31%,3.29
https://gisellemonbiot.com/online-conscious-connected-breathwork-circles/,2,4,50%,4.5
https://gisellemonbiot.com/products/,2,3,66.67%,2.33
https://gisellemonbiot.com/release-tension-to-the-earth-meditation-session/,2,3,66.67%,7
https://gisellemonbiot.com/about-giselle-monbiot-integrative-therapist-and-breathwork-facilitator/,1,118,0.85%,2.47
https://gisellemonbiot.com/harmony-within/,1,5,20%,5
https://gisellemonbiot.com/understanding-defence-mechanisms-recognising-and-managing-them/,0,1785,0%,1
https://gisellemonbiot.com/midlife-isn-t-a-crisis-it-s-an-awakening/,0,144,0%,3.8
https://gisellemonbiot.com/contact/,0,102,0%,7.37
https://gisellemonbiot.com/discover-how-grief-moves-in-waves/,0,100,0%,9.89
https://gisellemonbiot.com/why-talking-alone-isn-t-enough-for-true-healing/,0,80,0%,7.55
https://gisellemonbiot.com/therapy-and-coaching-prices-with-giselle-monbiot/,0,78,0%,3.5
https://gisellemonbiot.com/frequently-asked-questions-faqs/,0,50,0%,4.98
https://gisellemonbiot.com/workplace-wellbeing/,0,49,0%,3.22
https://gisellemonbiot.com/conscious-connected-breathwork-in-person/,0,26,0%,7.42
https://gisellemonbiot.com/news/,0,15,0%,5.2
https://gisellemonbiot.com/watch-perimenopause-and-mental-health-giselle-monbiot/,0,11,0%,12
https://gisellemonbiot.com/midweek-sanctuary-a-womens-breathwork-and-somatic-circle/,0,8,0%,8.75
https://gisellemonbiot.com/thank-you-for-getting-in-touch/,0,7,0%,10
https://gisellemonbiot.com/complex-trauma/,0,3,0%,8.33
