Date,Clicks,Impressions,CTR,Position
2024-10-01,1,81,1.23%,17.9
2024-10-02,2,70,2.86%,23.1
2024-10-03,2,59,3.39%,21
2024-10-04,0,68,0%,26.9
2024-10-05,0,59,0%,30.7
2024-10-06,1,82,1.22%,27.3
2024-10-07,1,72,1.39%,30.2
2024-10-08,1,75,1.33%,27.2
2024-10-09,8,94,8.51%,21.6
2024-10-10,1,80,1.25%,25
2024-10-11,0,59,0%,28.1
2024-10-12,0,70,0%,30.2
2024-10-13,0,82,0%,32.1
2024-10-14,1,83,1.2%,31
2024-10-15,2,109,1.83%,34.2
2024-10-16,2,114,1.75%,34.7
2024-10-17,1,81,1.23%,28.5
2024-10-18,5,78,6.41%,29.4
2024-10-19,1,81,1.23%,30.2
2024-10-20,2,95,2.11%,37
2024-10-21,1,100,1%,37.4
2024-10-22,0,97,0%,41.1
2024-10-23,2,83,2.41%,32.8
2024-10-24,1,74,1.35%,35.4
2024-10-25,1,84,1.19%,38
2024-10-26,0,73,0%,37.5
2024-10-27,0,81,0%,34
2024-10-28,0,75,0%,31.3
2024-10-29,0,69,0%,34.9
2024-10-30,0,67,0%,24.7
2024-10-31,1,49,2.04%,40.7
2024-11-01,2,60,3.33%,37.9
2024-11-02,1,70,1.43%,39.7
2024-11-03,0,73,0%,32.9
2024-11-04,1,92,1.09%,34.4
2024-11-05,0,68,0%,37.9
2024-11-06,0,83,0%,29.8
2024-11-07,0,70,0%,30.2
2024-11-08,2,69,2.9%,35.3
2024-11-09,2,74,2.7%,39.5
2024-11-10,0,84,0%,36.6
2024-11-11,0,109,0%,30.5
2024-11-12,1,112,0.89%,30.9
2024-11-13,1,109,0.92%,32.2
2024-11-14,4,95,4.21%,34.2
2024-11-15,5,99,5.05%,34.6
2024-11-16,1,82,1.22%,36.8
2024-11-17,0,98,0%,42.7
2024-11-18,0,121,0%,36.8
2024-11-19,0,135,0%,30.2
2024-11-20,1,186,0.54%,29.9
2024-11-21,0,205,0%,25.4
2024-11-22,2,149,1.34%,25.7
2024-11-23,2,100,2%,34.4
2024-11-24,0,146,0%,33
2024-11-25,1,184,0.54%,28.4
2024-11-26,0,153,0%,26.1
2024-11-27,2,106,1.89%,26.5
2024-11-28,0,81,0%,34.9
2024-11-29,0,101,0%,34.7
2024-11-30,0,93,0%,40.4
2024-12-01,3,126,2.38%,30.7
2024-12-02,1,108,0.93%,30
2024-12-03,2,130,1.54%,28.4
2024-12-04,1,93,1.08%,34.5
2024-12-05,1,111,0.9%,35.6
2024-12-06,0,117,0%,28.4
2024-12-07,3,87,3.45%,37.5
2024-12-08,2,112,1.79%,33.7
2024-12-09,0,119,0%,37.2
2024-12-10,1,121,0.83%,34.5
2024-12-11,0,132,0%,34.7
2024-12-12,2,113,1.77%,31.2
2024-12-13,0,89,0%,30.4
2024-12-14,1,71,1.41%,40.5
2024-12-15,0,104,0%,30.4
2024-12-16,3,141,2.13%,24.9
2024-12-17,1,92,1.09%,26.4
2024-12-18,0,85,0%,30.5
2024-12-19,3,94,3.19%,30.3
2024-12-20,0,75,0%,37.6
2024-12-21,0,71,0%,34.9
2024-12-22,1,97,1.03%,40.6
2024-12-23,0,94,0%,41.8
2024-12-24,1,59,1.69%,45.9
2024-12-25,1,65,1.54%,42.9
2024-12-26,1,57,1.75%,38
2024-12-27,0,70,0%,42.7
2024-12-28,2,73,2.74%,38.1
2024-12-29,0,81,0%,36.6
2024-12-30,1,89,1.12%,37.5
2024-12-31,0,77,0%,41.3
2025-01-01,4,74,5.41%,42
2025-01-02,0,86,0%,39.3
2025-01-03,1,91,1.1%,28.9
2025-01-04,2,83,2.41%,43.6
2025-01-05,3,104,2.88%,40.3
2025-01-06,0,100,0%,36.6
2025-01-07,2,98,2.04%,36.1
2025-01-08,1,93,1.08%,29.6
2025-01-09,1,90,1.11%,26.4
2025-01-10,4,63,6.35%,29.1
2025-01-11,3,72,4.17%,35.6
2025-01-12,2,74,2.7%,32.7
2025-01-13,2,107,1.87%,28.9
2025-01-14,2,78,2.56%,28.2
2025-01-15,3,79,3.8%,24.9
2025-01-16,2,40,5%,10.2
2025-01-17,0,51,0%,27
2025-01-18,0,43,0%,35.4
2025-01-19,0,85,0%,32.1
2025-01-20,1,64,1.56%,26.2
2025-01-21,2,74,2.7%,21.4
2025-01-22,1,65,1.54%,20.8
2025-01-23,1,74,1.35%,22.3
2025-01-24,1,53,1.89%,35.1
2025-01-25,3,48,6.25%,25.3
2025-01-26,0,51,0%,22.5
2025-01-27,3,78,3.85%,25.8
2025-01-28,1,71,1.41%,23.4
2025-01-29,4,70,5.71%,21.2
2025-01-30,2,73,2.74%,21.2
2025-01-31,4,66,6.06%,21.5
2025-02-01,2,62,3.23%,21.8
2025-02-02,3,63,4.76%,23.2
2025-02-03,3,71,4.23%,19.1
2025-02-04,1,77,1.3%,23.5
2025-02-05,2,73,2.74%,17.5
2025-02-06,1,68,1.47%,17.5
2025-02-07,0,59,0%,17.5
2025-02-08,0,56,0%,26.6
2025-02-09,2,61,3.28%,18.7
2025-02-10,0,57,0%,19.4
2025-02-11,1,72,1.39%,18.3
2025-02-12,3,62,4.84%,24.6
2025-02-13,4,58,6.9%,17.5
2025-02-14,0,41,0%,18.2
2025-02-15,2,57,3.51%,24.4
2025-02-16,5,56,8.93%,20.9
2025-02-17,2,76,2.63%,21.7
2025-02-18,0,68,0%,16.7
2025-02-19,0,87,0%,18.2
2025-02-20,2,79,2.53%,21.1
2025-02-21,2,77,2.6%,22.5
2025-02-22,1,64,1.56%,27.7
2025-02-23,4,89,4.49%,18.3
2025-02-24,0,90,0%,23.7
2025-02-25,7,71,9.86%,19.2
2025-02-26,2,79,2.53%,17.8
2025-02-27,2,64,3.12%,30.8
2025-02-28,1,81,1.23%,24.1
2025-03-01,2,65,3.08%,25.1
2025-03-02,5,93,5.38%,15.9
2025-03-03,4,99,4.04%,19.6
2025-03-04,1,102,0.98%,25.7
2025-03-05,1,101,0.99%,15.7
2025-03-06,1,78,1.28%,21.6
2025-03-07,1,65,1.54%,16.2
2025-03-08,3,60,5%,24.1
2025-03-09,1,64,1.56%,28
2025-03-10,8,106,7.55%,21.5
2025-03-11,1,94,1.06%,20.5
