Top pages,Clicks,Impressions,CTR,Position
https://gisellemonbiot.com/,335,2407,13.92%,16.01
https://gisellemonbiot.com/breathwork/,48,1783,2.69%,32.15
https://gisellemonbiot.com/breaking-the-stress-loop/,46,2893,1.59%,10.05
https://gisellemonbiot.com/about/breathwork/,31,616,5.03%,31.21
https://gisellemonbiot.com/wp-content/uploads/2020/01/Gratitude-PDF-2-compressed.pdf,30,427,7.03%,24.02
https://gisellemonbiot.com/1-to-1-therapy/compassionate-inquiry-practitioner/,22,1876,1.17%,34.34
https://gisellemonbiot.com/courses-and-events/,21,710,2.96%,16.71
https://gisellemonbiot.com/courses/breathwork/,17,416,4.09%,24.69
https://gisellemonbiot.com/one-to-one-therapy/,15,352,4.26%,5.18
https://gisellemonbiot.com/about/,14,427,3.28%,12.12
https://gisellemonbiot.com/the-stress-reset/,11,1255,0.88%,18.95
https://gisellemonbiot.com/1-to-1-therapy/,11,278,3.96%,4.31
https://gisellemonbiot.com/course/courses-and-events/,11,119,9.24%,9.02
https://gisellemonbiot.com/manage-your-menopause/,9,4720,0.19%,55.29
https://gisellemonbiot.com/understanding-defence-mechanisms-recognising-and-managing-them/,7,8759,0.08%,10.48
https://gisellemonbiot.com/contact/,7,842,0.83%,25.26
https://gisellemonbiot.com/what-is-compassionate-inquiry-and-why-might-it-matter-to-you/,7,475,1.47%,8.39
https://gisellemonbiot.com/about-giselle-monbiot-integrative-therapist-and-breathwork-facilitator/,5,353,1.42%,5.24
https://gisellemonbiot.com/about/conscious-connected-breathwork/,5,147,3.4%,23.48
https://gisellemonbiot.com/wp-content/uploads/2020/11/Breathing-Techniques-to-Reduce-Daily-Stress.pdf,4,153,2.61%,26.07
https://gisellemonbiot.com/courses/parenting-from-within-5-week-programme/,3,564,0.53%,58.99
https://gisellemonbiot.com/release-tension-to-the-earth-meditation-session/,3,62,4.84%,42.18
https://gisellemonbiot.com/course-category/group-therapy/,3,24,12.5%,32.83
https://gisellemonbiot.com/therapy-and-coaching-prices-with-giselle-monbiot/,2,208,0.96%,10.35
https://gisellemonbiot.com/about/community-learning/,2,186,1.08%,26.48
